Player,Team,draft_year,draft_round,draft_number
Muggsy Bogues,CHH,1987,1,12
Nate McMillan,SEA,1986,2,30
Nick Anderson,ORL,1989,1,11
Nick Van Exel,LAL,1993,2,37
Olden Polynice,SAC,1987,1,8
Oliver Miller,TOR,1992,1,22
Othella Harrington,HOU,1996,2,30
Otis Thorpe,DET,1984,1,9
P.J. Brown,MIA,1992,2,29
Patrick Ewing,NYK,1985,1,1
Pervis Ellison,BOS,1989,1,1
Lorenzo Williams,WAS,Undrafted,Undrafted,Undrafted
Nate Driggers,BOS,Undrafted,Undrafted,Undrafted
Melvin Booker,GSW,Undrafted,Undrafted,Undrafted
Pete Chilcutt,VAN,1991,1,27
Matt Maloney,HOU,Undrafted,Undrafted,Undrafted
Matt Steigenga,CHI,1992,2,52
Loy Vaught,LAC,1990,1,13
Luc Longley,CHI,1991,1,7
Lucious Harris,PHI,1993,2,28
Mahmoud Abdul-Rauf,SAC,1990,1,3
Malik Rose,CHH,1996,2,44
Malik Sealy,LAC,1992,1,14
Marcus Camby,TOR,1996,1,2
Mario Elie,HOU,1985,7,160
Mark Bradtke,PHI,Undrafted,Undrafted,Undrafted
Mark Bryant,PHX,1988,1,21
Marcus Brown,POR,1996,2,46
Mark Hendrickson,PHI,1996,2,31
Mark Jackson,IND,1987,1,18
Mark Price,GSW,1986,2,25
Mark Strickland,MIA,Undrafted,Undrafted,Undrafted
Matt Geiger,CHH,1992,2,42
Mark West,CLE,1983,2,30
Martin Lewis,TOR,1995,2,50
Martin Muursepp,DAL,1996,1,25
Marty Conlon,BOS,Undrafted,Undrafted,Undrafted
Matt Bullard,HOU,Undrafted,Undrafted,Undrafted
Matt Fish,MIA,1992,2,50
Mark Davis,PHI,1995,2,48
Mark West,IND,1983,2,30
Marko Milic,PHX,1997,2,33
Martin Muursepp,DAL,1996,1,25
Marty Conlon,MIA,Undrafted,Undrafted,Undrafted
Michael Cage,NJN,1984,1,14
Matt Geiger,CHH,1992,2,42
Matt Maloney,HOU,Undrafted,Undrafted,Undrafted
Maurice Taylor,LAC,1997,1,14
Mark Strickland,MIA,Undrafted,Undrafted,Undrafted
Matt Bullard,HOU,Undrafted,Undrafted,Undrafted
Mark Price,ORL,1986,2,25
Lucious Harris,NJN,1993,2,28
Mark Jackson,IND,1987,1,18
Mark Hendrickson,SAC,1996,2,31
Mark Davis,PHI,1995,2,48
Mark Bryant,PHX,1988,1,21
Mario Elie,HOU,1985,7,160
Mario Bennett,LAL,1995,1,27
Marcus Camby,TOR,1996,1,2
Malik Sealy,DET,1992,1,14
Malik Rose,SAS,1996,2,44
Mahmoud Abdul-Rauf,SAC,1990,1,3
Randy Brown,CHI,1991,2,31
