,Player,Tm,season17_18
478,Shabazz Muhammad,MIN,1577230.0
479,Shabazz Napier,POR,2361360.0
480,Shane Larkin,BOS,1524305.0
481,Shaquille Harrison,PHO,92160.0
482,Shaun Livingston,GSW,7692308.0
483,Sheldon Mac,ATL,1312611.0
484,Shelvin Mack,ORL,6000000.0
485,Sindarius Thornwell,LAC,815615.0
486,Skal Labissiere,SAC,1312611.0
487,Solomon Hill,NOP,12236535.0
488,Spencer Dinwiddie,BRK,1524305.0
489,Spencer Hawes,MIL,6021175.0
490,Stanley Johnson,DET,3097800.0
491,Stephen Curry,GSW,34682550.0
492,Stephen Zimmerman,LAL,1312611.0
493,Sterling Brown,MIL,815615.0
494,Steven Adams,OKC,22471910.0
495,T.J. Leaf,IND,2028360.0
496,T.J. McConnell,PHI,1471382.0
497,T.J. Warren,PHO,3152931.0
498,Taj Gibson,MIN,14000000.0
499,Tarik Black,HOU,3290000.0
500,Taurean Waller-Prince,ATL,2422560.0
501,Terrance Ferguson,OKC,1785000.0
502,Terrence Ross,ORL,10500000.0
503,Terry Rozier,BOS,1988520.0
504,Thabo Sefolosha,UTA,5250000.0
505,Thaddeus Young,IND,14796348.0
506,Thomas Bryant,LAL,815615.0
507,Thon Maker,MIL,2684160.0
508,Tibor Pleiss,PHI,500000.0
509,Tim Duncan,SAS,1881250.0
510,Tim Frazier,WAS,2000000.0
511,Tim Hardaway,NYK,16500000.0
512,Timofey Mozgov,BRK,15280000.0
513,Timothe Luwawu-Cabarrot,PHI,1386600.0
514,Tobias Harris,LAC,16000000.0
515,Tomas Satoransky,WAS,3000000.0
516,Tony Allen,CHI,2116955.0
517,Tony Bradley,UTA,1414920.0
518,Tony Parker,SAS,15453126.0
519,Tony Snell,MIL,9821429.0
520,Travis Wear,LAL,148318.0
521,Treveon Graham,CHO,1312611.0
522,Trevor Ariza,HOU,7420912.0
523,Trevor Booker,PHI,9125000.0
524,Trey Burke,NYK,784160.0
525,Trey Lyles,DEN,2441400.0
526,Trey McKinney-Jones,IND,46080.0
527,Tristan Thompson,CLE,16400000.0
528,Troy Daniels,PHO,3408520.0
529,Troy Williams,HOU,1471382.0
530,Troy Williams,NYK,148318.0
531,Tyler Cavanaugh,ATL,364959.5
532,Tyler Dorsey,ATL,815615.0
533,Tyler Ennis,LAL,1524305.0
534,Tyler Johnson,MIA,5881260.0
535,Tyler Lydon,DEN,1579440.0
536,Tyler Ulis,PHO,1312611.0
537,Tyler Zeller,MIL,1709538.0
538,Tyreke Evans,MEM,3290000.0
539,Tyson Chandler,PHO,13000000.0
540,Tyus Jones,MIN,1471382.0
541,Udonis Haslem,MIA,2328652.0
542,V.J. Beachem,LAL,50000.0
543,Vander Blue,LAL,50000.0
544,Victor Oladipo,IND,21000000.0
545,Vince Carter,SAC,8000000.0
546,Vince Hunter,MEM,50000.0
547,Wade Baldwin,MEM,1874400.0
548,Wade Baldwin,POR,222476.0
549,"Walt Lemon, Jr.",NOP,92160.0
550,Wayne Ellington,MIA,6270000.0
551,Wayne Selden,MEM,1312611.0
552,Wesley Iwundu,ORL,1050000.0
553,Wesley Johnson,LAC,5881260.0
554,Wesley Matthews,DAL,17884176.0
555,Will Barton,DEN,3533333.0
556,Willie Cauley-Stein,SAC,3704160.0
557,Willie Reed,CHI,1577230.0
558,Willy Hernangomez,CHO,1435750.0
559,Wilson Chandler,DEN,12016854.0
560,Xavier Rathan-Mayes,MEM,46080.0
561,Yakuba Ouattara,BRK,50000.0
562,Yogi Ferrell,DAL,1312611.0
563,Zach Collins,POR,3057240.0
564,Zach LaVine,CHI,3202217.0
565,Zach Randolph,SAC,12307692.0
566,Zaza Pachulia,GSW,3477600.0
567,Zhou Qi,HOU,815615.0
