,players,teams,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
3209,Kenyon Martin,MIL,37.0,205.74,102.0582,11.0,1.8,1.7,0.5,-2.3,0.067,0.12300000000000001,0.11599999999999999,0.43700000000000006,0.068
3210,Kenyon Martin,NJN,24.5,205.74,105.686936,70.75,15.075,7.625,2.35,3.05,0.06475,0.192,0.2295,0.5035000000000001,0.12150000000000001
3211,Kenyon Martin,NYK,35.5,205.74,105.46014,25.0,5.75,4.75,1.0,6.6,0.082,0.1725,0.1315,0.552,0.07400000000000001
3212,Keon Clark,DEN,24.5,210.82,99.79024,54.5,5.949999999999999,4.8,0.65,-1.9,0.1005,0.19,0.1525,0.528,0.053500000000000006
3213,Keon Clark,SAC,28.0,210.82,100.243832,80.0,6.7,5.6,1.0,6.2,0.08800000000000001,0.17600000000000002,0.152,0.528,0.07
3214,Keon Clark,TOR,26.5,210.82,100.243832,81.0,9.600000000000001,6.4,1.0,0.29999999999999993,0.091,0.212,0.1995,0.517,0.0695
3215,Keon Clark,UTA,29.0,210.82,100.243832,2.0,2.0,3.5,0.5,24.6,0.038,0.222,0.102,0.33299999999999996,0.063
3216,Kerry Kittles,LAC,31.0,195.58,83.91452,11.0,6.3,2.9,1.8,-4.0,0.005,0.156,0.155,0.446,0.13
3217,Kerry Kittles,NJN,26.428571428571427,195.57999999999998,81.45216342857144,70.85714285714286,14.14285714285714,3.957142857142857,2.5428571428571423,0.4571428571428572,0.03271428571428571,0.10128571428571428,0.19514285714285715,0.5209999999999999,0.12885714285714286
3218,Kevin Burleson,CHA,27.0,190.5,92.98635999999999,39.0,1.8,0.7,1.2,-0.9,0.013000000000000001,0.081,0.159,0.36700000000000005,0.242
3219,Kevin Duckworth,LAC,33.0,213.36,136.0776,26.0,4.0,2.3,0.6,-19.5,0.07,0.12300000000000001,0.172,0.473,0.069
3220,Kevin Durant,GSW,29.0,205.74,108.86208,69.33333333333333,25.833333333333332,7.166666666666667,5.366666666666667,11.466666666666667,0.017,0.18466666666666665,0.284,0.6406666666666666,0.2373333333333333
3221,Kevin Durant,OKC,23.5,205.74,105.743635,70.125,28.1,7.375,3.875,6.125,0.023874999999999997,0.1865,0.30300000000000005,0.6165,0.184625
3222,Kevin Durant,SEA,19.0,205.74,97.52228000000001,80.0,20.3,4.4,2.4,-11.7,0.027000000000000003,0.111,0.278,0.519,0.12
3223,Kevin Edwards,NJN,31.0,190.5,95.25431999999999,32.0,5.9,1.3,1.8,-10.1,0.02,0.086,0.22399999999999998,0.47,0.19899999999999998
3224,Kevin Edwards,ORL,32.0,190.5,86.18248,39.0,3.8,1.4,1.0,-2.7,0.04,0.087,0.18100000000000002,0.41600000000000004,0.125
